Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-706.6731,57.052864,-626.0257,-749.129,1000.0,-630.36633,29.99091,-592.09906,-658.7719,1000.0,-105.36758422851562,177.6528778076172,5000,0.6316211223602295,-630.36633,0
-754.40594,4.0478296,-750.3378,-759.92786,1000.0,-744.8491,62.62836,-674.12,-831.755,1000.0,-120.787353515625,230.226806640625,10000,1.4733352661132812,,1
-830.58795,14.263234,-814.22144,-848.9821,1000.0,-786.12317,23.11071,-752.4915,-820.6941,1000.0,-122.37298583984375,231.8459014892578,15000,2.088107109069824,,2
-832.85956,28.336264,-796.1935,-865.1967,1000.0,-793.55096,83.6173,-644.45715,-901.6048,1000.0,-107.39013671875,180.9237060546875,20000,2.7130661010742188,,3
-829.9384,17.884293,-804.7693,-844.6814,1000.0,-859.9005,69.1285,-789.94165,-970.8787,1000.0,-104.48635864257812,167.48251342773438,25000,3.329310417175293,,4
-816.9585,56.0021,-745.7722,-882.6139,1000.0,-834.6559,69.1369,-756.24457,-953.52527,1000.0,-87.1757583618164,126.01505279541016,30000,3.939594030380249,,5
-920.7548,61.090744,-837.13,-981.36316,1000.0,-858.9953,66.22533,-757.6703,-958.30225,1000.0,-74.64239501953125,96.58179473876953,35000,4.5522050857543945,,6
-945.2007,71.06718,-877.0128,-1043.2369,1000.0,-938.20685,31.149185,-892.2241,-968.29913,1000.0,-67.64241027832031,87.08866119384766,40000,5.196788311004639,,7
-894.14044,28.233942,-870.1834,-933.7826,1000.0,-997.39453,25.7808,-951.8364,-1023.8468,1000.0,-63.87187957763672,80.67179107666016,45000,5.817272186279297,,8
-871.51984,22.192299,-849.8596,-902.01904,1000.0,-907.06726,54.578102,-811.4457,-969.21265,1000.0,-39.223297119140625,55.84857940673828,50000,6.434348106384277,,9
-751.8547,24.033838,-717.906,-770.26184,1000.0,-798.1747,81.51779,-698.4195,-907.3135,1000.0,-10.427416801452637,33.073463439941406,55000,7.052478313446045,,10
-692.3781,77.81021,-583.8333,-762.30835,1000.0,-742.6942,52.143112,-680.95703,-831.6145,1000.0,10.592222213745117,38.61372756958008,60000,7.6592230796813965,,11
-772.1573,74.43811,-670.48724,-846.6344,1000.0,-695.12976,21.8405,-671.5034,-729.3342,1000.0,23.171905517578125,41.3726921081543,65000,8.264317274093628,,12
-564.24176,42.860752,-504.57434,-603.3175,1000.0,-615.6002,58.230087,-547.0404,-692.52795,1000.0,35.28954315185547,62.970863342285156,70000,8.871723175048828,,13
-597.012,72.3486,-518.1644,-692.905,1000.0,-669.3817,83.99902,-591.4439,-818.35645,1000.0,33.33774948120117,57.00215148925781,75000,9.492274284362793,,14
-573.64746,41.781578,-514.5737,-604.31256,1000.0,-582.3288,70.36042,-488.36758,-671.72565,1000.0,45.540924072265625,61.53424835205078,80000,10.104873418807983,,15
-644.9338,28.764141,-605.28687,-672.6411,1000.0,-540.3628,40.94513,-472.84955,-582.04584,1000.0,0.7785153388977051,157.51272583007812,85000,10.715776205062866,,16
-558.0255,30.775114,-534.0038,-601.4669,1000.0,-553.5368,53.17733,-519.8882,-659.2623,1000.0,37.587257385253906,54.51362991333008,90000,11.325923204421997,,17
-563.377,56.614956,-483.6601,-609.69995,1000.0,-542.6327,75.50941,-407.86575,-634.18317,1000.0,22.79511833190918,44.96976852416992,95000,11.934202194213867,,18
-597.7452,30.8465,-554.3148,-623.01196,1000.0,-536.7627,63.797283,-469.20258,-637.8495,1000.0,13.828553199768066,48.722110748291016,100000,12.541909217834473,,19
-528.3802,41.23893,-470.7802,-565.0956,1000.0,-557.6142,50.14691,-499.59494,-623.7453,1000.0,12.534012794494629,41.18837356567383,105000,13.152425289154053,,20
-547.6059,69.780624,-450.31555,-610.5669,1000.0,-547.79456,23.554777,-502.5321,-568.8052,1000.0,7.2245774269104,37.07918167114258,110000,13.762116193771362,,21
-583.7244,56.55108,-504.65823,-633.671,1000.0,-595.0099,65.018005,-523.4092,-681.05884,1000.0,-3.7890594005584717,36.000694274902344,115000,14.373753309249878,,22
-572.7642,48.504204,-520.22296,-637.2258,1000.0,-582.58185,31.189838,-538.9882,-631.2244,1000.0,-1.011786937713623,20.383224487304688,120000,14.990230083465576,,23
-565.4589,29.230019,-526.8899,-597.62415,1000.0,-605.86475,58.211052,-535.3737,-708.44653,1000.0,-7.093275547027588,27.396547317504883,125000,15.598526239395142,,24
-541.6555,8.583635,-529.73126,-549.5867,1000.0,-547.3751,54.789036,-485.3122,-629.09375,1000.0,1.2761038541793823,15.42426586151123,130000,16.211740255355835,,25
-512.4302,8.389753,-502.58762,-523.0895,1000.0,-546.3082,18.0229,-519.73596,-571.3795,1000.0,-0.6839475035667419,17.25156021118164,135000,16.8339421749115,,26
-504.18448,18.723526,-479.43912,-524.7184,1000.0,-496.46973,25.177382,-467.28558,-541.1566,1000.0,4.630791187286377,15.615843772888184,140000,17.444589138031006,,27
-490.76578,50.72932,-453.5077,-562.48975,1000.0,-467.7249,36.963245,-414.6325,-530.4506,1000.0,5.54581880569458,23.305219650268555,145000,18.055564165115356,,28
-419.3624,18.38524,-401.03802,-444.4992,1000.0,-440.54315,106.88565,-236.2869,-536.38873,1000.0,8.392010688781738,20.90135383605957,150000,18.66631507873535,,29
-430.29825,28.445261,-391.07483,-457.6457,1000.0,-453.68115,73.81024,-331.93097,-557.3477,1000.0,9.155253410339355,27.314393997192383,155000,19.27978825569153,,30
-431.27182,15.190139,-410.1011,-445.01337,1000.0,-425.03256,36.62372,-380.28497,-486.46014,1000.0,8.443007469177246,23.241283416748047,160000,19.881792068481445,,31
-385.55774,102.67645,-241.89146,-475.6578,1000.0,-485.8664,87.99548,-354.15442,-608.62427,1000.0,-14.014459609985352,60.89716339111328,165000,20.50750732421875,,32
-386.48413,43.354706,-337.57767,-442.9618,1000.0,-462.67667,53.99589,-411.5393,-564.5012,1000.0,-0.12795019149780273,22.92352294921875,170000,21.10690212249756,,33
-391.24292,60.571804,-330.1126,-473.7766,1000.0,-404.90714,29.176373,-370.22034,-446.7339,1000.0,7.118728160858154,16.003475189208984,175000,21.707720279693604,,34
-464.7832,113.70397,-334.773,-611.7389,1000.0,-328.5363,23.134,-289.6852,-355.5123,1000.0,13.107583045959473,21.153427124023438,180000,22.31524419784546,,35
-334.5666,53.613255,-283.24994,-408.5625,1000.0,-384.6053,35.90103,-323.11923,-420.61954,1000.0,5.959904670715332,14.551606178283691,185000,22.92418932914734,,36
-362.05478,52.100945,-317.50208,-435.15488,1000.0,-327.7104,38.77256,-256.0484,-367.12537,1000.0,10.793018341064453,20.540056228637695,190000,23.52980613708496,,37
-302.95282,26.298407,-278.14313,-339.35284,1000.0,-344.29477,66.946846,-287.9538,-475.20865,1000.0,7.465526580810547,34.20797348022461,195000,24.150269269943237,,38
-318.53336,46.39375,-260.63434,-374.21014,1000.0,-358.93732,39.996456,-313.72864,-425.8343,1000.0,-10.131584167480469,39.125877380371094,200000,24.768418073654175,,39
-319.7012,38.694706,-287.72647,-374.14807,1000.0,-270.0446,27.40835,-223.54007,-304.20337,1000.0,11.562029838562012,14.956390380859375,205000,25.390092134475708,,40
-350.79355,36.211773,-310.4823,-398.30225,1000.0,-283.10156,48.823822,-208.04309,-356.19183,1000.0,6.073606967926025,15.572410583496094,210000,26.004268169403076,,41
-301.75534,33.515343,-273.58148,-348.85126,1000.0,-323.91104,48.57951,-264.15555,-401.72253,1000.0,-1.2580946683883667,33.591331481933594,215000,26.612220287322998,,42
-270.19052,43.648163,-214.54373,-321.15088,1000.0,-306.2392,37.178535,-240.2366,-351.6869,1000.0,-0.6772663593292236,11.801280975341797,220000,27.231829166412354,,43
-345.15723,27.167019,-311.8346,-378.3797,1000.0,-277.10626,36.191624,-243.01247,-347.20184,1000.0,1.5183885097503662,18.77545166015625,225000,27.83978033065796,,44
-213.21236,26.599457,-176.18294,-237.46405,1000.0,-279.93085,43.68384,-210.60396,-331.05624,1000.0,-0.38753077387809753,15.29066276550293,230000,28.448084115982056,,45
-305.31955,43.323616,-262.7178,-364.7547,1000.0,-290.97302,56.966312,-235.63205,-395.23038,1000.0,-3.337881326675415,16.82760238647461,235000,29.057339191436768,,46
-258.11063,72.04497,-168.7208,-345.14713,1000.0,-296.32196,25.492355,-269.405,-340.17233,1000.0,-4.42358922958374,16.816003799438477,240000,29.673384428024292,,47
-255.61914,85.26523,-182.83951,-375.2711,1000.0,-293.86465,50.37159,-234.46692,-382.21594,1000.0,-4.534450054168701,24.861278533935547,245000,30.28191637992859,,48
-187.7719,8.272647,-181.56491,-199.46375,1000.0,-230.63562,41.16468,-175.56238,-282.84247,1000.0,3.271765947341919,15.800196647644043,250000,30.89446520805359,,49
-229.46773,83.69581,-154.65283,-346.30774,1000.0,-243.56929,36.86178,-201.28523,-308.17645,1000.0,1.6008973121643066,16.59220314025879,255000,31.50526523590088,,50
-161.46112,47.23147,-97.5457,-210.22157,1000.0,-253.72095,95.189186,-181.69337,-439.69025,1000.0,-0.9771881103515625,30.85622215270996,260000,32.11392521858215,,51
-161.72194,43.62755,-107.66167,-214.50397,1000.0,-224.02231,59.500828,-175.34326,-341.26865,1000.0,2.8498916625976562,25.267831802368164,265000,32.722830295562744,,52
-162.07362,33.784195,-127.32089,-207.84442,1000.0,-190.29141,27.989851,-148.5752,-235.37245,1000.0,5.225543975830078,13.269636154174805,270000,33.33410620689392,,53
-120.76998,22.076319,-104.26346,-151.97311,1000.0,-150.91156,53.3945,-104.69896,-254.93729,1000.0,8.986523628234863,16.804977416992188,275000,33.9368851184845,,54
-241.61156,66.2575,-189.59207,-335.1162,1000.0,-152.7381,46.07229,-85.07405,-215.33093,1000.0,6.219939231872559,16.054847717285156,280000,34.54191732406616,,55
-140.17616,51.404034,-68.3867,-185.9839,1000.0,-164.21654,53.6076,-93.4706,-247.52351,1000.0,3.756147623062134,15.16103744506836,285000,35.149598360061646,,56
