Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-142.139,81.35628,3.1750183,-391.51187,88.73913043478261,-166.14153,102.37819,-71.759834,-505.7151,93.54545454545455,-2.4398176670074463,10113.7373046875,2058,0.588947057723999,-166.14153,0
-181.1668,98.415436,-4.0615463,-345.9093,96.95454545454545,-182.08734,89.3522,-57.108765,-381.81125,94.45454545454545,-2.5063297748565674,10349.7646484375,4136,1.4468822479248047,,1
-146.49083,90.65007,-42.26419,-338.3626,103.6,-173.12898,92.95712,-59.645653,-419.1086,102.2,-2.0761849880218506,7832.90380859375,6180,2.02675199508667,,2
-124.18486,102.43445,42.587624,-301.96228,192.0909090909091,-189.8639,117.69186,7.382576,-405.3053,106.10526315789474,-2.29731822013855,10347.369140625,8196,2.888320207595825,,3
-220.50768,124.535576,-22.733673,-463.5301,122.70588235294117,-149.83435,98.831726,-50.268654,-397.93918,119.29411764705883,-1.4784948825836182,6275.171875,10224,3.52003812789917,,4
-201.70554,105.64204,-35.61212,-366.90143,127.5,-160.27835,127.369095,-9.636986,-464.0639,109.3157894736842,-1.7433899641036987,7893.46728515625,12301,4.138070106506348,,5
-159.67593,129.0756,8.316299,-394.55606,203.4,-221.2523,146.54353,-24.909363,-455.79614,141.1875,-1.5820587873458862,8751.453125,14560,5.251209020614624,,6
-261.09866,176.65381,-44.113617,-572.8115,146.92857142857142,-248.53566,157.70464,-15.81753,-564.5744,145.28571428571428,-1.6233675479888916,11454.3486328125,16594,5.935435056686401,,7
-263.33218,133.53531,-23.815044,-499.14136,155.92307692307693,-281.16168,120.72811,-48.66442,-470.7227,155.92307692307693,-1.5672777891159058,10242.0654296875,18621,6.606400012969971,,8
-211.21669,112.03773,-46.13272,-463.1409,147.5,-214.94533,89.64119,-46.942894,-333.9551,189.9090909090909,-0.9006948471069336,4447.15771484375,20710,7.534243106842041,,9
-207.87137,134.77646,-3.223587,-422.40118,148.0,-178.74072,144.34933,68.716034,-413.42496,224.1,-0.7209638357162476,5773.06982421875,22951,8.802922010421753,,10
-252.14076,92.9562,-34.966934,-442.2218,161.53846153846155,-270.59573,153.40604,-32.465942,-540.4692,175.91666666666666,-1.0877082347869873,9825.642578125,25062,9.540022134780884,,11
-238.96577,92.02668,-60.258984,-409.95142,154.0,-234.99353,145.16591,2.258513,-435.10733,166.91666666666666,-1.0935423374176025,7323.92822265625,27065,10.278154134750366,,12
-268.34283,133.09727,-13.211449,-453.59784,148.92857142857142,-339.57645,175.09541,-41.909435,-695.82324,183.9090909090909,-1.4446173906326294,11711.62109375,29088,10.989435911178589,,13
-245.63808,95.93251,-6.552162,-397.1621,154.14285714285714,-172.21223,153.13031,-22.440723,-432.97998,301.14285714285717,-0.32998910546302795,4340.517578125,31196,12.177104234695435,,14
-149.88214,115.088196,6.212654,-382.71527,176.83333333333334,-302.16782,174.87018,78.681595,-526.29205,295.7142857142857,-0.41942694783210754,6888.4052734375,33266,13.724754095077515,,15
-200.00793,121.432945,86.12594,-387.86276,210.78571428571428,-212.22977,111.81952,-45.279427,-383.43756,158.84615384615384,-0.8663516044616699,4184.76611328125,35331,15.096370935440063,,16
-169.60736,105.305504,-3.3158398,-349.47626,170.5,-154.94055,150.88913,35.271736,-582.046,168.41666666666666,-0.6708794236183167,3239.1845703125,37352,15.827294111251831,,17
-121.51662,123.99359,22.952633,-398.59973,142.86666666666667,-180.91267,114.604,31.76326,-396.4864,154.30769230769232,-0.8399903774261475,3786.822509765625,39358,16.523436069488525,,18
-151.29504,135.06662,27.089138,-485.01996,213.64285714285714,-176.61502,107.67341,-21.193558,-426.78723,155.0,-0.6250777840614319,3706.848876953125,41528,17.89318299293518,,19
-176.97899,114.543144,0.22673416,-334.60672,191.63636363636363,-176.55981,90.43024,-31.595833,-338.41092,175.66666666666666,-0.5886503458023071,3068.340576171875,43636,18.669610023498535,,20
-133.77742,105.37006,39.504868,-312.12286,158.30769230769232,-217.12154,111.51029,-55.772724,-436.05115,175.75,-0.7335013151168823,3927.37353515625,45745,19.404527187347412,,21
-119.54912,102.06029,8.941151,-307.7344,306.85714285714283,-215.77438,126.22624,-20.795235,-416.73135,211.0,-0.6950142979621887,3295.955322265625,47855,20.749606132507324,,22
-182.76028,104.41665,8.630737,-324.56024,202.9090909090909,-180.45786,65.07293,-54.58087,-276.83777,213.6,-0.41765910387039185,2174.088134765625,49991,21.684186220169067,,23
-209.53078,153.78255,68.73273,-475.27414,254.875,-227.89726,97.786354,-40.22873,-416.84787,213.6,-0.6640008687973022,3821.84423828125,52127,22.659842252731323,,24
-148.14316,118.51234,50.829464,-337.04453,205.5,-228.30876,142.46332,-52.378754,-509.9532,210.6,-0.4937679171562195,3351.9755859375,54233,23.540435075759888,,25
-232.83527,75.91086,-100.76219,-406.81555,234.22222222222223,-226.50078,139.31897,-16.552006,-457.08057,351.5,-0.06569480895996094,2961.044677734375,56342,24.765192985534668,,26
-131.15038,87.57161,44.183697,-255.61877,195.27272727272728,-204.96,116.94621,-2.2392502,-394.70178,207.1,-0.3125658333301544,2447.664794921875,58413,25.616194248199463,,27
-118.07199,92.265175,-18.377258,-239.48853,167.08333333333334,-148.1406,99.66335,23.648735,-270.21234,288.57142857142856,-0.0593012310564518,4970.232421875,60433,27.03845715522766,,28
-120.5722,111.81762,22.524788,-313.78088,343.1666666666667,-170.34236,91.26929,-46.56914,-347.15244,179.66666666666666,-0.38979023694992065,2686.9462890625,62589,28.380771160125732,,29
-179.08267,74.0925,-48.31793,-300.87555,273.625,-105.28156,73.51912,-8.429085,-237.14563,223.55555555555554,-0.07004325836896896,2518.80908203125,64601,29.49502420425415,,30
-147.83014,98.89581,28.100113,-266.21008,184.9090909090909,-189.41536,119.41064,-22.054321,-338.69907,338.1666666666667,-0.05552759766578674,4135.9189453125,66630,31.10012912750244,,31
-115.706024,106.121895,24.724243,-239.67418,202.1818181818182,-135.08273,75.618385,-8.954563,-240.74335,166.46153846153845,-0.33889392018318176,2236.691162109375,68794,31.971014976501465,,32
-145.47862,117.318054,-17.106041,-345.88382,289.7142857142857,-211.45975,70.96759,-70.69244,-321.20337,298.85714285714283,-0.09894301742315292,2741.716552734375,70886,33.40878224372864,,33
-139.6343,99.49216,28.056595,-294.97668,193.63636363636363,-180.8421,93.52558,-65.864044,-306.52258,277.3333333333333,-0.00508209690451622,2480.342041015625,73382,34.60713815689087,,34
-117.85169,98.315094,41.352936,-273.158,185.45454545454547,-152.51517,86.87156,11.347233,-269.60016,202.2,0.042719628661870956,2034.7044677734375,75404,35.51456904411316,,35
-113.296715,83.85721,-20.02008,-229.92944,227.33333333333334,-139.78181,88.60312,29.919388,-284.74078,223.11111111111111,-0.0773482620716095,1893.6097412109375,77412,36.51311707496643,,36
-116.49457,99.26537,-10.766602,-270.61346,305.57142857142856,-185.38193,67.87285,-62.04191,-276.5789,251.5,-0.02998683787882328,1755.4495849609375,79424,38.07865905761719,,37
-142.6772,97.40744,7.0773964,-245.34001,226.11111111111111,-122.73584,61.210793,-23.791294,-252.25323,206.2,-0.061894286423921585,2074.798583984375,81486,39.01259112358093,,38
-108.73841,96.11628,55.210606,-224.87573,242.44444444444446,-121.63853,88.5006,-17.186523,-263.71814,305.0,0.19521670043468475,3682.099365234375,83621,40.31756901741028,,39
-160.2493,75.3668,-14.210739,-224.68616,253.875,-144.26067,94.431526,20.404522,-248.88864,209.3,0.022721020504832268,2434.2021484375,85714,41.384774923324585,,40
-120.49163,81.433945,-2.6719742,-226.26099,301.6666666666667,-69.136444,81.71958,48.80397,-202.06253,199.45454545454547,0.20439879596233368,3286.6044921875,87908,43.11626601219177,,41
-155.806,90.86671,-27.921967,-284.2057,228.55555555555554,-115.9729,91.380035,-24.497417,-265.68683,339.85714285714283,0.024427974596619606,2629.3935546875,90287,44.6149582862854,,42
-116.98679,90.63073,13.189266,-286.31308,211.8,-85.36834,106.71747,70.55617,-242.47264,302.42857142857144,0.24497343599796295,3221.371826171875,92404,45.78496217727661,,43
-73.79167,91.95096,40.92064,-217.40245,293.2,-67.25002,81.053635,2.7328262,-219.52014,515.2,0.1675005853176117,3410.866943359375,94980,48.23491621017456,,44
-78.918724,65.16497,-27.73941,-187.3414,620.0,-145.48854,94.913826,-11.596481,-288.12332,327.57142857142856,-0.009249710477888584,2673.498046875,97273,50.83903217315674,,45
-86.258606,84.93096,26.472343,-216.51741,361.0,-174.7827,53.10804,-65.5177,-232.70055,225.66666666666666,-0.26139113306999207,2314.939208984375,99304,52.671077251434326,,46
-63.528606,115.813995,78.706024,-239.19357,341.3333333333333,-141.09721,82.65426,-30.495445,-243.36533,361.3333333333333,-0.14308932423591614,2399.68212890625,101472,54.6629900932312,,47
-74.16243,125.94499,197.56586,-226.15112,319.875,-148.39285,105.369705,36.878426,-243.79892,418.2,0.10804864019155502,2885.56005859375,103563,56.69147706031799,,48
-141.7908,90.40351,-8.510212,-279.03775,215.8,-163.20882,79.549576,-36.64526,-255.10196,231.66666666666666,-0.24418658018112183,2598.134765625,105648,57.63198518753052,,49
-168.06741,53.185474,-31.596424,-232.92838,204.6,-113.324776,73.86779,-26.610207,-204.56197,288.42857142857144,0.050347745418548584,2929.899658203125,107667,59.088245153427124,,50
-120.06008,74.03397,-24.439045,-243.88182,217.8,-76.59723,61.63127,-18.428833,-184.90178,303.2857142857143,-0.02371787652373314,2237.4326171875,109790,60.43966794013977,,51
-136.45714,115.67195,136.7533,-249.39186,326.625,-67.6272,138.42113,264.1264,-231.80188,265.55555555555554,-0.10053825378417969,3986.17041015625,112180,61.92388319969177,,52
-118.82637,94.15347,14.139492,-297.5544,264.875,-143.68283,76.30598,-52.82609,-269.14282,251.75,-0.34888407588005066,1463.0345458984375,114194,62.952059268951416,,53
-227.741,46.848705,-150.91211,-304.8086,242.88888888888889,-72.203186,115.44863,90.718124,-226.30087,394.3333333333333,0.08616555482149124,3803.6533203125,116560,64.53869795799255,,54
-166.13416,144.02295,135.10239,-330.53003,311.55555555555554,-184.99933,120.08751,-12.721577,-353.61,264.875,-0.26459866762161255,2826.449951171875,118679,65.98890113830566,,55
-135.78667,84.344475,-7.265276,-257.2004,256.0,-151.8142,114.72831,-10.209412,-331.28027,231.33333333333334,-0.29692205786705017,3114.5546875,120761,67.03707718849182,,56
-173.75378,78.79896,-54.578094,-277.4267,223.0,-139.50446,58.6306,-55.873657,-214.58035,224.33333333333334,-0.17689815163612366,1981.7135009765625,122780,68.03961133956909,,57
-186.0943,90.89151,-22.50311,-290.18622,234.88888888888889,-175.956,79.59699,-9.619242,-288.6812,212.3,-0.3821830749511719,3434.544921875,124903,69.01149702072144,,58
-110.46536,69.83567,-14.163662,-217.79501,254.125,-170.67372,77.47318,-6.8219795,-301.48276,207.54545454545453,-0.27973994612693787,3312.237548828125,127186,69.99566411972046,,59
-184.37212,70.3873,-75.12976,-286.89984,229.22222222222223,-163.74767,75.76105,-30.762945,-251.59164,236.11111111111111,-0.07465200871229172,2870.915283203125,129311,70.95717930793762,,60
-186.85988,88.37977,-23.305601,-277.21786,262.75,-95.49157,155.81026,232.67352,-302.582,227.33333333333334,-0.11493901163339615,4549.83984375,131357,71.97822999954224,,61
-101.12963,102.31179,81.401955,-197.06635,364.3333333333333,-90.093994,79.93458,55.390045,-184.80637,359.8333333333333,0.09334166347980499,2706.644775390625,133516,73.54232120513916,,62
-127.74168,139.1683,91.00157,-276.10114,454.6,-180.35448,57.942547,-54.305023,-239.5006,236.22222222222223,-0.319629043340683,2152.798095703125,135642,75.02931714057922,,63
-153.79463,85.371,-23.13601,-253.46242,241.66666666666666,-158.93388,96.812096,35.383636,-284.56146,254.875,-0.1661510169506073,2091.494384765625,137681,76.29902219772339,,64
-95.14559,171.6265,221.45164,-268.76288,294.14285714285717,-113.19524,76.485,11.734521,-218.40337,207.6,0.008394366130232811,2387.98095703125,139757,77.48876118659973,,65
-137.69313,87.619995,-13.29226,-256.0198,246.88888888888889,-150.5611,92.475975,-23.113546,-273.8939,250.44444444444446,-0.11778458207845688,1931.4766845703125,142011,78.69304394721985,,66
