Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-932.4247,518.53955,-467.72522,-2290.143,108.0,0,,,,,,,,
,,,,,73,-138.88904,74,,,,,,
,,,,,136,-95.25919,63,,,,,,
,,,,,196,-113.3615,60,,,,,,
,,,,,274,-149.2977,78,,,,,,
,,,,,362,-111.32206,88,,,,,,
,,,,,423,-103.904755,61,,,,,,
,,,,,542,-122.205414,119,,,,,,
,,,,,680,-152.68451,138,,,,,,
,,,,,748,-183.66519,68,,,,,,
,,,,,846,-284.32935,98,,,,,,
,,,,,943,-288.5896,97,,,,,,
,,,,,1072,-90.879135,129,,,,,,
,,,,,1196,-195.49269,124,,,,,,
,,,,,1274,-118.233154,78,,,,,,
,,,,,1336,-106.8453,62,,,,,,
,,,,,1438,-475.4177,102,,,,,,
,,,,,1538,-155.20444,100,,,,,,
,,,,,1618,-148.78561,80,,,,,,
,,,,,1717,-112.665855,99,,,,,,
,,,,,1792,-305.37787,75,,,,,,
,,,,,1859,-320.88184,67,,,,,,
,,,,,1957,-424.9051,98,,,,,,
,,,,,2057,-308.62402,100,,,,,,
,,,,,2146,-68.47867,89,,,,,,
,,,,,2244,-379.74368,98,,,,,,
,,,,,2349,-58.180428,105,,,,,,
,,,,,2473,-89.235855,124,,,,,,
,,,,,2625,-351.96002,152,,,,,,
,,,,,2708,-237.66798,83,,,,,,
,,,,,2813,-138.06622,105,,,,,,
,,,,,2946,-417.4942,133,,,,,,
,,,,,3062,-179.43854,116,,,,,,
,,,,,3126,-49.95524,64,,,,,,
,,,,,3193,-91.48381,67,,,,,,
,,,,,3280,-169.12401,87,,,,,,
,,,,,3392,-330.1035,112,,,,,,
,,,,,3502,-315.55307,110,,,,,,
,,,,,3596,-322.95917,94,,,,,,
,,,,,3655,-65.00464,59,,,,,,
,,,,,3731,-79.72686,76,,,,,,
,,,,,3803,-171.63283,72,,,,,,
,,,,,3876,-304.0873,73,,,,,,
,,,,,3974,-83.21241,98,,,,,,
,,,,,4052,-101.74962,78,,,,,,
,,,,,4141,-409.55115,89,,,,,,
,,,,,4250,-330.51968,109,,,,,,
,,,,,4377,-272.72937,127,,,,,,
,,,,,4450,-146.30742,73,,,,,,
,,,,,4553,-292.19656,103,,,,,,
,,,,,4690,-524.1787,137,,,,,,
,,,,,4765,-135.73996,75,,,,,,
,,,,,4838,-104.03607,73,,,,,,
,,,,,4990,-194.78516,152,,,,,,
,,,,,5097,-203.6066,107,,,,,,
,,,,,5219,-393.1966,122,,,,,,
,,,,,5350,-449.69574,131,,,,,,
,,,,,5492,-137.0953,142,,,,,,
,,,,,5580,-361.57355,88,,,,,,
,,,,,5682,-133.49274,102,,,,,,
,,,,,5795,-146.02783,113,,,,,,
,,,,,5878,-338.81628,83,,,,,,
,,,,,5948,-196.11998,70,,,,,,
,,,,,6025,-101.02528,77,,,,,,
,,,,,6124,-263.30396,99,,,,,,
,,,,,6228,-429.44687,104,,,,,,
,,,,,6302,-79.36368,74,,,,,,
,,,,,6409,-153.06143,107,,,,,,
,,,,,6476,-42.617065,67,,,,,,
,,,,,6589,-532.2919,113,,,,,,
,,,,,6689,-145.34135,100,,,,,,
,,,,,6793,-307.59595,104,,,,,,
,,,,,6873,-89.77687,80,,,,,,
,,,,,6958,-139.75122,85,,,,,,
,,,,,7056,-487.17957,98,,,,,,
,,,,,7163,-111.25554,107,,,,,,
,,,,,7246,-65.4696,83,,,,,,
,,,,,7342,-99.67899,96,,,,,,
,,,,,7444,-291.5653,102,,,,,,
,,,,,7543,-122.73517,99,,,,,,
,,,,,7614,-111.945274,71,,,,,,
,,,,,7716,-184.3895,102,,,,,,
,,,,,7832,-252.87595,116,,,,,,
,,,,,7911,-203.08069,79,,,,,,
,,,,,7988,-78.102905,77,,,,,,
,,,,,8085,-111.2778,97,,,,,,
,,,,,8216,25.112183,131,,,,,,
,,,,,8298,-462.16727,82,,,,,,
,,,,,8370,-149.66263,72,,,,,,
,,,,,8491,-201.84106,121,,,,,,
,,,,,8607,-205.80374,116,,,,,,
,,,,,8679,-67.78526,72,,,,,,
,,,,,8773,-21.899559,94,,,,,,
,,,,,8848,-69.137474,75,,,,,,
,,,,,8920,-331.403,72,,,,,,
,,,,,9006,-434.82452,86,,,,,,
,,,,,9079,-164.68826,73,,,,,,
,,,,,9178,-288.0456,99,,,,,,
,,,,,9259,-231.14397,81,,,,,,
,,,,,9348,-374.28116,89,,,,,,
,,,,,9466,-157.75168,118,,,,,,
,,,,,9578,-131.13474,112,,,,,,
,,,,,9675,-125.59018,97,,,,,,
,,,,,9808,-370.0703,133,,,,,,
,,,,,9889,-87.61553,81,,,,,,
-1345.703,1166.8762,-575.62427,-4528.029,161.8,10000,,,,,,,,
,,,,,10001,-105.876175,112,,,,,,
,,,,,10103,-462.58792,102,,,,,,
,,,,,10224,-270.7296,121,,,,,,
,,,,,10289,-78.82587,65,,,,,,
,,,,,10398,-223.31902,109,,,,,,
,,,,,11398,60.812138,1000,,,,,,
,,,,,11492,-319.11792,94,,,,,,
,,,,,11589,-159.51929,97,,,,,,
,,,,,11675,-136.91824,86,,,,,,
,,,,,11771,-376.9825,96,,,,,,
,,,,,11848,-120.91413,77,,,,,,
,,,,,11971,-90.668465,123,,,,,,
,,,,,12052,-121.28265,81,,,,,,
,,,,,12131,-116.66618,79,,,,,,
,,,,,12248,-155.35468,117,,,,,,
,,,,,12319,-81.27304,71,,,,,,
,,,,,12398,-94.72176,79,,,,,,
,,,,,12492,-404.35382,94,,,,,,
,,,,,12553,-88.18628,61,,,,,,
,,,,,12640,-537.12415,87,,,,,,
,,,,,12754,-99.73535,114,,,,,,
,,,,,12887,-20.693466,133,,,,,,
,,,,,12967,-303.79196,80,,,,,,
,,,,,13064,-16.997833,97,,,,,,
,,,,,13133,-270.08136,69,,,,,,
,,,,,13224,-107.932884,91,,,,,,
,,,,,13344,-41.934704,120,,,,,,
,,,,,13454,-130.64926,110,,,,,,
,,,,,13552,-132.92618,98,,,,,,
,,,,,13658,-2.6155472,106,,,,,,
,,,,,13777,-339.5205,119,,,,,,
,,,,,13848,-99.956375,71,,,,,,
,,,,,13960,-167.36163,112,,,,,,
,,,,,14036,-34.493057,76,,,,,,
,,,,,14126,-395.17523,90,,,,,,
,,,,,14206,-175.6415,80,,,,,,
,,,,,14300,-157.19379,94,,,,,,
,,,,,14406,-304.9934,106,,,,,,
,,,,,14507,-103.74295,101,,,,,,
,,,,,14634,-406.13782,127,,,,,,
,,,,,14753,-427.66208,119,,,,,,
,,,,,14831,-85.27258,78,,,,,,
,,,,,14937,-296.21545,106,,,,,,
,,,,,15023,-120.26515,86,,,,,,
,,,,,15124,-192.9113,101,,,,,,
,,,,,15238,-214.7344,114,,,,,,
,,,,,15311,-44.66741,73,,,,,,
,,,,,15413,-454.1198,102,,,,,,
,,,,,15513,-68.846115,100,,,,,,
,,,,,15617,-115.15658,104,,,,,,
,,,,,15742,-440.17014,125,,,,,,
,,,,,15865,-87.2747,123,,,,,,
,,,,,15929,-108.45494,64,,,,,,
,,,,,16010,-90.31673,81,,,,,,
,,,,,16086,-157.52368,76,,,,,,
,,,,,16149,-198.84071,63,,,,,,
,,,,,16249,-142.26213,100,,,,,,
,,,,,16407,-190.13605,158,,,,,,
,,,,,16500,-382.5202,93,,,,,,
,,,,,16630,-40.794342,130,,,,,,
,,,,,16759,-207.28168,129,,,,,,
,,,,,16883,-194.6727,124,,,,,,
,,,,,17012,-140.64398,129,,,,,,
,,,,,17107,-366.59668,95,,,,,,
,,,,,17193,-299.60455,86,,,,,,
,,,,,17275,-117.97512,82,,,,,,
